L’iguana è la lucertola più grande del mondo?;1
Nel dipinto della Gioconda mancano le narici?;0
Rabat è la capitale del Marocco?;1
Il cuore è il più grande organo del corpo?;0
La poiana è una specie di uccello?;1
Gli anelli della bandiera olimpica sono interconnessi?;1
Un ettagono ha sette lati?;1
Marte è il pianeta più vicino alla Terra?;0
La Groenlandia è l’isola più grande del mondo?;1
La luna influenza le maree della Terra?;1
L’energia elettrica è utilizzata per creare luce?;1
Il pianeta più grande del Sistema solare è Giove?;1
Nettuno è il Dio del Mare?;1
Madrid si trova in Italia?;0
Lo squalo ha 100 denti?;0
Il granchio cammina di lato?;1
Cenerentola ha 1 sorellastra?;0
4 è un numero primo?;0
Il numero romano V sarebbe 4;0
L'Egitto si trova in Africa?;1
La Luna è un satellite?;1
La besciamella è una panna da cucina?;1
Ice-cream' significa gelato?;1
Berlino è la capitale della Cina?;0
Il gobbo di Notre Dame si chiama Quasimodo?;1
Cristoforo Colombo ha scoperto l'America?;1
6 è la radice quadrata di 36?;1
