L'ape ha 4 ali?;1
Il mouse è stato inventato nel 1982?;0
Nel Lazio si trova il lago Trasimeno?;0
Nel testo dell'inno del Sudafrica ci sono 5 lingue? ;1
L'ornitorinco depone le uova?;1
La città natale di Giuseppe Garibaldi è Zante?;0
Gli utenti di internet nel 1982 erano circa 200?;1
A dicembre in Islanda, ci sono 5 ore di sole al giorno?;0
La digestione inizia nello stomaco già dal primo boccone?;0
Il primo bambino, in Antardite, è nato nel 1910?;0
L’argento si utilizza anche per la produzione di calzini?;1
Nella torre di Pisa ci sono 33 campane?;0
La vongola, la lumaca e il polpo sono molluschi?;1
Il frutto più costoso al mondo è il Kumquat? ;0
In un cm quadrato della nostra pelle vivono circa mille batteri?;0
Barbie nasce nel 1974?;0
Francesi e messicani hanno combattuto la guerra dei pasticcini?;1
Il Mescal è una bevanda messicana?;1
Negli Stati Uniti non si vota durante la Domenica ma il Martedì?;1
Il più grande produttore di pneumatici al mondo è Michelin?;0
Andava è un verbo?;0
Un triangolo ha due lati uguali e un angolo di 60°, allora è equilatero;1
Un'equazione differenziale lega una funzione incognita alle sue derivate?;1
Il teorema di Cauchy generalizza il teorema di Lagrange?;1
L'energia cinetica si misura in Watt?;0
